msa,quarter,industry,company,CIK,STREET1,city,state,zip,ENTITYTYPE,JURISDICTIONOFINC,ACCESSIONNUMBER
philadelphia,2016q2,Pharmaceuticals,"JDP Therapeutics, Inc.",0001488520,823 JAYS DRIVE,lansdale,PA,19446,Corporation,PENNSYLVANIA,0001677485-16-000002
baltimore,2016q2,Biotechnology,Centrexion Therapeutics Corp,0001592052,"509 S. EXETER ST., SUITE 202",baltimore,MD,21202,Corporation,DELAWARE,0001012975-16-001310
philadelphia,2016q2,Biotechnology,"CURAVAC, INC.",0001677679,3422 OLD CAPITOL TRAIL,wilmington,DE,19808,Corporation,DELAWARE,0001677679-16-000001
philadelphia,2016q2,Pharmaceuticals,"J2 Bio-Pharma, LLC",0001677006,648 MULFORD ROAD,wyncote,PA,19095,Limited Liability Company,DELAWARE,0001677006-16-000002
dallas,2016q2,Biotechnology,NUVIANT MEDICAL INC.,0001638919,3824 CEDAR SPRINGS RD. #419,dallas,TX,75219,Corporation,NEVADA,0001076542-16-000313
dallas,2016q2,Other Health Care,"Irish Surgical Products, LLC",0001677275,5710 LBJ FREEWAY,dallas,TX,75240,Limited Liability Company,TEXAS,0001677275-16-000001
philadelphia,2016q2,Pharmaceuticals,"Aclaris Therapeutics, Inc.",0001557746,101 LINDENWOOD DRIVE,malvern,PA,19355,Corporation,DELAWARE,0001557746-16-000002
pittsburgh,2016q2,Biotechnology,"Forest Devices, Inc.",0001647635,6022 BROAD STREET,pittsburgh,PA,15206,Corporation,DELAWARE,0001647635-16-000002
dallas,2016q2,Pharmaceuticals,"Spectrix Therapeutics, LLC",0001675383,2535 EAST SOUTHLAKE BOULEVARD,southlake,TX,76092,Limited Liability Company,DELAWARE,0001675383-16-000001
atlanta,2016q2,Other Health Care,"OneDirect Health Network, Inc.",0001656119,1755 W. OAK PARKWAY,marietta,GA,30062,Corporation,GEORGIA,0001656119-16-000002
pittsburgh,2016q2,Biotechnology,"Ariel Precision Medicine, LLC",0001674590,4638 CENTRE AVENUE,pittsburgh,PA,15213,Limited Liability Company,PENNSYLVANIA,0001674590-16-000002
philadelphia,2016q2,Other Health Care,"Aspire Bariatrics, Inc.",0001538993,"3200 HORIZON DRIVE, SUITE 100",king of prussia,PA,19406,Corporation,DELAWARE,0001538993-16-000002
pittsburgh,2016q2,Biotechnology,Knopp Biosciences LLC,0001497598,2100 WHARTON STREET,pittsburgh,PA,15203,Limited Liability Company,DELAWARE,0000898432-16-002349
philadelphia,2016q2,Other Health Care,RistCall LLC,0001675376,3401 MARKET STREET,philadelphia,PA,19104,Limited Liability Company,DELAWARE,0001675376-16-000001
dallas,2016q2,Other Health Care,"Neuron Shield Monitoring Associates, PLLC",0001674588,4100 WEST 15TH STREET,plano,TX,75093,Limited Liability Company,ARIZONA,0001674588-16-000001
dallas,2016q2,Other Health Care,"Neuron Shield 8, LLC",0001674847,4100 WEST 15TH STREET,plano,TX,75093,Limited Liability Company,ARIZONA,0001674847-16-000001
atlanta,2016q2,Other Health Care,"FlexSpark, Inc.",0001674826,3423 GLENROSE DRIVE,atlanta,GA,30341,Corporation,DELAWARE,0001674826-16-000001
atlanta,2016q2,Biotechnology,"Axion BioSystems, Inc.",0001458565,"1819 PEACHTREE ROAD, SUITE 350",atlanta,GA,30309,Corporation,DELAWARE,0001458565-16-000002
philadelphia,2016q2,Pharmaceuticals,Scilex Pharmaceuticals Inc.,0001603542,301 LINDENWOOD DR.,malvern,PA,19355,Corporation,DELAWARE,0000905718-16-001448
philadelphia,2016q2,Other Health Care,KEYSTONE MOBILE PARTNERS LP,0001174003,2701 BLAIR MILL ROAD,willow grove,PA,19090,Limited Partnership,PENNSYLVANIA,0001174003-16-000003
atlanta,2016q2,Other Health Care,"VAVOTAR LIFE SCIENCES, LLC",0001661957,"1735 BUFORD HIGHWAY, SUITE 215-113",cumming,GA,30041,Limited Liability Company,DELAWARE,0001661957-16-000002
atlanta,2016q2,Biotechnology,"B4CC, Inc.",0001660721,C/O KEN DIXON,gainesville,GA,30501,Corporation,DELAWARE,0001660721-16-000001
philadelphia,2016q2,Other Health Care,"PhotoSonix Medical, Inc.",0001653289,23 BROOKLINE COURT,ambler,PA,19002,Corporation,DELAWARE,0001653289-16-000003
baltimore,2016q2,Biotechnology,"PROFECTUS BIOSCIENCES, INC",0001444253,6411 BECKLEY STREET,baltimore,MD,21224,Corporation,DELAWARE,0001444253-16-000003
dallas,2016q2,Pharmaceuticals,"Encore Vision, Inc.",0001618596,"1120 SOUTH FREEWAY, SUITE 118",fort worth,TX,76104,Corporation,DELAWARE,0001618596-16-000003
baltimore,2016q2,Other Health Care,"Healthcare Interactive, Inc.",0001612708,3060 ROUTE 97,glenwood,MD,21738,Corporation,DELAWARE,0001612708-16-000003
dallas,2016q2,Other Health Care,"Neuron Shield 9, LLC",0001673866,4100 WEST 15TH STREET,plano,TX,75093,Limited Liability Company,NEW MEXICO,0001673866-16-000001
dallas,2016q2,Other Health Care,"JDCQ Solutions, LLC",0001673761,"15280 ADDISON RD., SUITE 260",addison,TX,75001,Limited Liability Company,TEXAS,0001673761-16-000001
dallas,2016q2,Other Health Care,"Credence Works, LLC",0001673613,"1507 CAPITAL AVENUE, SUITE 101",plano,TX,75074,Limited Liability Company,TEXAS,0001673613-16-000001
atlanta,2016q2,Other Health Care,Medovex Corp.,0001591165,3279 Hardee Avenue,atlanta,GA,30341,Corporation,NEVADA,0001415889-16-005722
philadelphia,2016q2,Pharmaceuticals,"Symbiomix Therapeutics, LLC",0001612502,105 LOCK STREET SUITE 409,newark,NJ,07103,Limited Liability Company,DELAWARE,0001612502-16-000001
philadelphia,2016q2,Other Health Care,"HELIUS MEDICAL TECHNOLOGIES, INC.",0001610853,"SUITE 400, 41 UNIVERSITY DRIVE",newtown,PA,18940,Corporation,WYOMING,0001012975-16-001187
philadelphia,2016q2,Biotechnology,"Merganser Biotech, Inc.",0001635172,"1004 West 9th Avenue, Suite 115",king of prussia,PA,19406,Corporation,DELAWARE,0001635172-16-000003
dallas,2016q2,Other Health Care,"Averify, LLC",0001645725,3102 Oak Lawn Ave.,dallas,TX,75219,Limited Liability Company,TEXAS,0001645725-16-000008
philadelphia,2016q2,Pharmaceuticals,"Madrigal Pharmaceuticals, Inc.",0001673226,500 OFFICE CENTER DRIVE,fort washington,PA,19034,Corporation,DELAWARE,0001673226-16-000001
atlanta,2016q2,Other Health Care,OcuHub LLC,0001615766,4885 OLD TOWNE PARKWAY,marietta,GA,30068,Limited Liability Company,DELAWARE,0001615766-16-000002
baltimore,2016q2,Other Health Care,"NovaSom, Inc",0001487143,"801 CROMWELL PARK DRIVE, SUITE 108",glen burnie,MD,21061,Corporation,DELAWARE,0001487143-16-000001
philadelphia,2016q2,Other Health Care,"HealthVerity, Inc.",0001671703,100 NORTH 20TH STREET,philadelphia,PA,19103,Corporation,DELAWARE,0001671703-16-000001
baltimore,2016q2,Other Health Care,Sisu Global Health Inc.,0001672635,10 EAST NORTH AVENUE,baltimore,MD,21202,Corporation,MICHIGAN,0001672635-16-000001
philadelphia,2016q2,Pharmaceuticals,"ProstaGene, LLC",0001635915,100 East Lancaster Avenue,wynnewood,PA,19096,Limited Liability Company,DELAWARE,0001635915-16-000003
philadelphia,2016q2,Pharmaceuticals,WELLESLEY PHARMACEUTICALS LLC,0001634861,3 VALLEY VIEW DRIVE,newtown,PA,18940,Limited Liability Company,DELAWARE,0001634861-16-000001
philadelphia,2016q2,Other Health Care,"Genomind, Inc.",0001604902,2200 Renaissance Boulevard,king of prussia,PA,19406-2755,Corporation,DELAWARE,0001604902-16-000006
baltimore,2016q2,Other Health Care,"SafeOp Surgical, Inc.",0001540725,Executive Plaza III,hunt valley,MD,21030,Corporation,DELAWARE,0001540725-16-000001
baltimore,2016q2,Biotechnology,Centrexion Therapeutics Corp,0001592052,"509 S. EXETER ST., SUITE 202",baltimore,MD,21202,Corporation,DELAWARE,0001012975-16-001163
pittsburgh,2016q2,Biotechnology,"Noveome Biotherapeutics, Inc.",0001478304,100 TECHNOLOGY DRIVE,pittsburgh,PA,15219,Corporation,DELAWARE,0001478304-16-000005
philadelphia,2016q2,Other Health Care,KEYSTONE MOBILE PARTNERS LP,0001174003,2701 BLAIR MILL ROAD,willow grove,PA,19090,Limited Partnership,PENNSYLVANIA,0001174003-16-000002
dallas,2016q2,Pharmaceuticals,ULURU Inc.,0001168220,4452 BELTWAY DRIVE,addison,TX,75001,Corporation,NEVADA,0001168220-16-000162
atlanta,2016q2,Other Health Care,"REACH Health, Inc.",0001500088,4501 NORTH POINT PARKWAY,alpharetta,GA,30022,Corporation,DELAWARE,0001500088-16-000005
dallas,2016q2,Other Health Care,"Catapult Health, LLC",0001509247,"8144 WALNUT HILL LANE, SUITE 1120",dallas,TX,75231,Limited Liability Company,TEXAS,0001509247-16-000003
philadelphia,2016q2,Biotechnology,Atrin Pharmaceuticals LLC,0001670487,3805 OLD EASTON ROAD,doylestown,PA,18902,Limited Liability Company,PENNSYLVANIA,0001670487-16-000002
atlanta,2016q2,Other Health Care,"SKYMEDICUS, Inc.",0001652747,11080 OLD ROSWELL ROAD,alpharetta,GA,30009,Corporation,INDIANA,0001652747-16-000003
pittsburgh,2016q2,Pharmaceuticals,THAR PHARMACEUTICALS INC,0001428369,150 GAMMA DRIVE,pittsburgh,PA,15238,Corporation,DELAWARE,0001428369-16-000001
baltimore,2016q2,Other Health Care,"WellDoc, Inc.",0001459113,1501 ST. PAUL STREET,baltimore,MD,21202,Corporation,DELAWARE,0001459113-16-000005
pittsburgh,2016q2,Pharmaceuticals,Complexa Inc.,0001551369,2425 SIDNEY STREET,pittsburgh,PA,15203,Corporation,DELAWARE,0001551369-16-000002
philadelphia,2016q2,Pharmaceuticals,"NP-C Therapeutics, LLC",0001671127,640 FREEDOM BUSINESS CENTER DRIVE,king of prussia,PA,19406,Limited Liability Company,DELAWARE,0001671127-16-000002
philadelphia,2016q2,Biotechnology,Atrin Pharmaceuticals LLC,0001670487,3805 OLD EASTON ROAD,doylestown,PA,18902,Limited Liability Company,PENNSYLVANIA,0001670487-16-000001
atlanta,2016q3,Biotechnology,"NovAb, Inc.",0001685163,1860 MONTREAL ROAD,tucker,GA,30084,Corporation,GEORGIA,0001685163-16-000001
atlanta,2016q3,Pharmaceuticals,GALECTIN THERAPEUTICS INC,0001133416,4960 PEACHTREE INDUSTRIAL BOULEVARD,norcross,GA,30071,Corporation,NEVADA,0001133416-16-000002
baltimore,2016q3,Other Health Care,"Redfish Holdings, Inc.",0001637944,6030 DAYBREAK CIRCLE,clarksville,MD,21029,Corporation,MARYLAND,0001637944-16-000001
atlanta,2016q3,Other Health Care,"Azalea Health Innovations, Inc.",0001630860,"5871 GLENRIDGE DRIVE, NE",atlanta,GA,30328,Corporation,DELAWARE,0001630860-16-000006
dallas,2016q3,Other Health Care,PGC Tapestry Tallahassee Assisted Living & Memory Care LP,0001685558,9330 LBJ FREEWAY SUITE 900,dallas,TX,75243,Limited Partnership,DELAWARE,0001685558-16-000002
philadelphia,2016q3,Biotechnology,"ExcaliVir, Inc.",0001685433,130 WAGON WHEEL LANE,doylestown,PA,18901,Corporation,DELAWARE,0001192482-16-000709
atlanta,2016q3,Other Health Care,"Accushield, LLC",0001624042,2030 POWERS FERRY ROAD,atlanta,GA,30339,Limited Liability Company,GEORGIA,0001624042-16-000002
dallas,2016q3,Other Health Care,Ideal Implant Inc,0001360739,5005 LBJ FREEWAY,dallas,TX,75244,Corporation,TEXAS,0001360739-16-000006
atlanta,2016q3,Other Health Care,"NantiBodyFc, LLC",0001661957,"1735 BUFORD HIGHWAY, SUITE 215-113",cumming,GA,30041,Limited Liability Company,DELAWARE,0001661957-16-000006
baltimore,2016q3,Biotechnology,Hunterian Medicine LLC,0001685325,1201 WEST MOUNT ROYAL AVENUE,baltimore,MD,21217,Limited Liability Company,DELAWARE,0001685325-16-000001
atlanta,2016q3,Other Health Care,"NantiBodyFc, LLC",0001661957,"1735 BUFORD HIGHWAY, SUITE 215-113",cumming,GA,30041,Limited Liability Company,DELAWARE,0001661957-16-000005
philadelphia,2016q3,Other Health Care,"Essential Medical, Inc.",0001605099,227 E. KING STREET,malvern,PA,19355,Corporation,DELAWARE,0001605099-16-000002
atlanta,2016q3,Other Health Care,"NantiBodyFc, LLC",0001661957,"1735 BUFORD HIGHWAY, SUITE 215-113",cumming,GA,30041,Limited Liability Company,DELAWARE,0001661957-16-000004
pittsburgh,2016q3,Other Health Care,"Forest Devices, Inc.",0001647635,6024 BROAD STREET,pittsburgh,PA,15206,Corporation,DELAWARE,0001647635-16-000003
dallas,2016q3,Pharmaceuticals,Armstrong MSO LLC,0001684931,6020 W PARKER ROAD SUITE 270,plano,TX,75093,Limited Liability Company,TEXAS,0001684931-16-000001
dallas,2016q3,Biotechnology,"Abexxa Biologics, Inc.",0001684213,"NANOFAB BUILDING, 500 S. COOPER ST.",arlington,TX,76019,Corporation,DELAWARE,0001684213-16-000001
baltimore,2016q3,Biotechnology,Cerecor Inc.,0001534120,"400 East Pratt Street, Suite 606",baltimore,MD,21202,Corporation,DELAWARE,0001534120-16-000001
atlanta,2016q3,Pharmaceuticals,"Cocrystal Pharma, Inc.",0001412486,1860 MONTREAL ROAD,tucker,GA,30084,Corporation,DELAWARE,0001415889-16-007136
baltimore,2016q3,Pharmaceuticals,"Pharmaceutics International, Inc.",0001684470,10819 GILROY ROAD,hunt valley,MD,21031,Corporation,DELAWARE,0001140361-16-079745
baltimore,2016q3,Other Health Care,Awarables Inc,0001684538,"300 WEST PRATT ST., SUITE 200",baltimore,MD,21201,Corporation,DELAWARE,0001684538-16-000004
baltimore,2016q3,Other Health Care,Awarables Inc,0001684538,"300 WEST PRATT ST., SUITE 200",baltimore,MD,21201,Corporation,MARYLAND,0001684538-16-000002
dallas,2016q3,Other Health Care,"Healthway Education Systems, LLC",0001684522,"610 Uptown Blvd, Suite 2000",cedar hill,TX,75104,Limited Liability Company,TEXAS,0001684522-16-000001
dallas,2016q3,Other Health Care,"USRC Cedar Hill, LLC",0001684223,"C/O U.S. RENAL CARE, INC.",plano,TX,75024,Limited Liability Company,DELAWARE,0001684223-16-000001
dallas,2016q3,Other Health Care,"USRC West Grand Prairie, LLC",0001684222,"C/O U.S. RENAL CARE, INC.",plano,TX,75024,Limited Liability Company,DELAWARE,0001684222-16-000001
dallas,2016q3,Other Health Care,"Texas Health Surgery Center Rockwall, LLC",0001645817,3150 Horizon Road,rockwall,TX,75032,Limited Liability Company,TEXAS,0001645817-16-000003
atlanta,2016q3,Other Health Care,Valeris Medical LLC,0001684089,200 COBB PARKWAY NORTH,marietta,GA,30062,Limited Liability Company,GEORGIA,0001684089-16-000003
philadelphia,2016q3,Pharmaceuticals,Atheric Pharmaceutical LLC,0001682731,105 7TH STREET,riverton,NJ,08077,Limited Liability Company,DELAWARE,0001682731-16-000001
dallas,2016q3,Other Health Care,"USRC Penns Grove, LLC",0001683493,"c/o U.S. Renal Care, Inc.",plano,TX,75024,Limited Liability Company,NEW JERSEY,0001683493-16-000001
pittsburgh,2016q3,Biotechnology,"AbiliLife, Inc.",0001651121,100 South Commons,pittsburgh,PA,15212,Corporation,DELAWARE,0001651121-16-000002
philadelphia,2016q3,Pharmaceuticals,HEMISPHERX BIOPHARMA INC,0000946644,"1617 JFK BLVD, SUITE #500",philadelphia,PA,19103,Corporation,DELAWARE,0001609410-16-000004
philadelphia,2016q3,Biotechnology,BIOINCEPT LLC,0001401750,1697 LARK LANE,cherry hill,NJ,08003,Limited Liability Company,NEW JERSEY,0001192482-16-000705
dallas,2016q3,Other Health Care,"Ophthalmology Surgery Center of Dallas, LLC",0001462766,10740 North Central Expressway,dallas,TX,75231,Limited Liability Company,TEXAS,0001462766-16-000002
pittsburgh,2016q3,Biotechnology,"Cernostics, Inc.",0001474724,235 WILLIAM PITT WAY,pittsburgh,PA,15238,Corporation,DELAWARE,0001474724-16-000004
philadelphia,2016q3,Biotechnology,"Factor Medical, LLC",0001682322,147 HEATHER DRIVE,new hope,PA,18938,Limited Liability Company,NEVADA,0001682322-16-000001
atlanta,2016q3,Other Health Care,StartBox LLC,0001682043,3978 CLAIRMONT ROAD,atlanta,GA,30341,Limited Liability Company,GEORGIA,0001682043-16-000001
philadelphia,2016q3,Biotechnology,"Fibrocell Science, Inc.",0000357097,405 EAGLEVIEW BOULEVARD,exton,PA,19341,Corporation,DELAWARE,0001140361-16-077719
baltimore,2016q3,Other Health Care,"Clear Guide Medical, Inc.",0001682212,3600 CLIPPER MILL ROAD,baltimore,MD,21211,Corporation,MARYLAND,0001682212-16-000002
baltimore,2016q3,Other Health Care,"AbsoluteCARE, Inc.",0001663277,"1040 PARK AVENUE, SUITE 200",baltimore,MD,21201,Corporation,DELAWARE,0001663277-16-000003
dallas,2016q3,Other Health Care,"Select Pharma, LLC",0001627275,5710 LBJ FREEWAY,dallas,TX,75240,Limited Liability Company,TEXAS,0001627275-16-000001
atlanta,2016q3,Other Health Care,"Azalea Health Innovations, Inc.",0001630860,"5871 GLENRIDGE DRIVE, NE",atlanta,GA,30328,Corporation,DELAWARE,0001630860-16-000005
baltimore,2016q3,Biotechnology,"Sonavex, Inc.",0001645892,"810 WYMAN PARK DRIVE, SUITE G02",baltimore,MD,21211,Corporation,DELAWARE,0001645892-16-000005
pittsburgh,2016q3,Biotechnology,CELSENSE INC,0001372965,603 STANWIX STREET,pittsburgh,PA,15222,Corporation,DELAWARE,0001372965-16-000003
baltimore,2016q3,Biotechnology,"Breethe, Inc.",0001631734,1101 W. PRATT STREET,baltimore,MD,21223,Corporation,DELAWARE,0001631734-16-000004
pittsburgh,2016q3,Other Health Care,PHOENIX REHABILITATION & HEALTH SERVICES INC,0001068337,430 INNOVATION DRIVE,blairsville,PA,15717,Corporation,PENNSYLVANIA,0001068337-16-000004
philadelphia,2016q3,Other Health Care,"Life Vest Health, Inc.",0001656783,"109 S. 13th Street, Suite 2S",philadelphia,PA,19107,Corporation,DELAWARE,0001656783-16-000002
dallas,2016q3,Other Health Care,"Denton Surgery Center, LLC",0001603417,207 N. BONNIE BRAE STREET,denton,TX,76210,Limited Liability Company,TEXAS,0001682316-16-000004
baltimore,2016q3,Other Health Care,"Clear Guide Medical, Inc.",0001682212,3600 CLIPPER MILL ROAD,baltimore,MD,21211,Corporation,MARYLAND,0001682212-16-000001
atlanta,2016q3,Biotechnology,FEMASYS INC,0001339005,3950 Johns Creek Court,suwanee,GA,30024,Corporation,DELAWARE,0000945621-16-000694
dallas,2016q3,Other Health Care,"Texas Health Craig Ranch Surgery Center, LLC",0001574555,8080 STATE HIGHWAY 121,mckinney,TX,75070,Limited Liability Company,TEXAS,0001574555-16-000001
dallas,2016q3,Biotechnology,"Cx Precision Medicine, Inc.",0001681655,1120 SOUTH FREEWAY,fort worth,TX,76104,Corporation,DELAWARE,0001681655-16-000001
pittsburgh,2016q3,Other Health Care,Fitness Integration LLC,0001681977,362 TERRACE PLACE,oakmont,PA,15139,Limited Liability Company,PENNSYLVANIA,0001681977-16-000001
philadelphia,2016q3,Pharmaceuticals,"Frontida Biopharm, Inc.",0001680898,700 PENNSYLVANIA DRIVE,exton,PA,19341,Corporation,PENNSYLVANIA,0001680898-16-000001
philadelphia,2016q3,Other Health Care,"Accolade, Inc.",0001481646,660 W. GERMANTOWN PIKE SUITE 500,plymouth meeting,PA,19462,Corporation,DELAWARE,0001192482-16-000690
dallas,2016q3,Other Health Care,"Premier One Emergency Centers, LLC",0001681887,1415 LEGACY DRIVE,frisco,TX,75034,Limited Liability Company,TEXAS,0001681887-16-000001
baltimore,2016q3,Other Health Care,"AbsoluteCARE, Inc.",0001663277,"1040 Park Ave., STE 200",baltimore,MD,21201,Corporation,DELAWARE,0001663277-16-000002
philadelphia,2016q3,Other Health Care,Flower Orthopedics Corp,0001604136,100 WITMER ROAD,horsham,PA,19044,Corporation,PENNSYLVANIA,0001604136-16-000001
baltimore,2016q3,Biotechnology,"AgeneBio, Inc.",0001467758,"1101 E. 33rd STREET, SUITE C310",baltimore,MD,21218,Corporation,DELAWARE,0001467758-16-000002
philadelphia,2016q3,Biotechnology,"Coriell Life Sciences, Inc.",0001675480,403 HADDON AVENUE,camden,NJ,08103,Corporation,DELAWARE,0001675480-16-000001
dallas,2016q3,Other Health Care,LMK Surgical Products,0001679869,5710 LBJ FREEWAY,dallas,TX,75240,Limited Liability Company,TEXAS,0001679868-16-000002
dallas,2016q3,Other Health Care,Rebel Surgical Products,0001679868,5710 LBJ FREEWAY,dallas,TX,75240,Limited Liability Company,TEXAS,0001679868-16-000001
atlanta,2016q3,Pharmaceuticals,"True Nature Holding, Inc.",0000802257,1355 PEACHTREE STREET,atlanta,GA,30309,Corporation,DELAWARE,0001575705-16-000155
dallas,2016q3,Pharmaceuticals,"Apothecary Health Solutions, LLC",0001679714,"2501 W. OAK STREET, SUITE 100",denton,TX,76201,Limited Liability Company,TEXAS,0001679714-16-000001
philadelphia,2016q3,Other Health Care,"Genomind, Inc.",0001604902,2200 Renaissance Boulevard,king of prussia,PA,19406-2755,Corporation,DELAWARE,0001604902-16-000007
philadelphia,2016q3,Biotechnology,Immunome Inc.,0001472012,"3001 MARKET STREET, SUITE 140",philadelphia,PA,19104,Corporation,DELAWARE,0001472012-16-000006
philadelphia,2016q3,Biotechnology,"Tarsa Therapeutics, Inc.",0001475030,"8 Penn Center, 1628 JFK Blvd Suite 1400",philadelphia,PA,19103,Corporation,DELAWARE,0001475030-16-000002
atlanta,2016q3,Other Health Care,"CHILDRENS HEALTHCARE OF ATLANTA SURGERY CENTER AT MERIDIAN MARK PLAZA, LLC",0001200058,5445 MERIDIAN MARK ROAD NE,atlanta,GA,30342,Limited Liability Company,GEORGIA,0001200058-16-000004
pittsburgh,2016q3,Other Health Care,"CIRCADIANCE, LLC",0001646751,1300 RODI ROAD,turtle creek,PA,15145,Limited Liability Company,PENNSYLVANIA,0001646751-16-000002
philadelphia,2016q3,Biotechnology,Prelude Therapeutics Inc.,0001678660,550 S COLLEGE AVE.,newark,DE,19713,Corporation,DELAWARE,0001678660-16-000001
atlanta,2016q3,Other Health Care,"Brookhaven Medical, Inc.",0001592473,"3424 PEACHTREE ROAD, NW",atlanta,GA,30326,Corporation,DELAWARE,0001592473-16-000006
dallas,2016q3,Biotechnology,"Allied BioScience, Inc.",0001677342,100 CRESCENT COURT SUITE 450,dallas,TX,75201,Corporation,NEVADA,0001677342-16-000002
pittsburgh,2016q3,Biotechnology,CELSENSE INC,0001372965,603 STANWIX STREET,pittsburgh,PA,15222,Corporation,DELAWARE,0001372965-16-000002
pittsburgh,2016q3,Biotechnology,Knopp Biosciences LLC,0001497598,"2100 WHARTON STREET, SUITE 615",pittsburgh,PA,15203,Limited Liability Company,DELAWARE,0000898432-16-002681
atlanta,2016q3,Biotechnology,Accuitis Inc.,0001634848,1005 Alderman Drive,alpharetta,GA,30005,Corporation,GEORGIA,0001634848-16-000002
philadelphia,2016q4,Other Health Care,"Trice Medical, Inc.",0001542869,"1000 CONTINENTAL DRIVE, STE. 240",king of prussia,PA,19406,Corporation,DELAWARE,0001542869-16-000002
pittsburgh,2016q4,Biotechnology,Knopp Biosciences LLC,0001497598,2100 WHARTON STREET,pittsburgh,PA,15203,Limited Liability Company,DELAWARE,0000898432-16-003285
atlanta,2016q4,Biotechnology,FEMASYS INC,0001339005,3950 JOHNS CREEK COURT,suwanee,GA,30024,Corporation,DELAWARE,0001339005-16-000003
baltimore,2016q4,Other Health Care,"Neuraly, Inc.",0001692816,855 NORTH WOLFE STREET,baltimore,MD,21205,Corporation,DELAWARE,0001692816-16-000001
dallas,2016q4,Other Health Care,PGC's Tapestry Tallahassee Walden Memory Care LP,0001691822,9330 LBJ FREEWAY STE. 900,dallas,TX,75243,Limited Partnership,TEXAS,0001691822-16-000001
atlanta,2016q4,Biotechnology,"B4CC, Inc.",0001660721,C/O KEN DIXON,gainesville,GA,30501,Corporation,DELAWARE,0001660721-16-000002
pittsburgh,2016q4,Other Health Care,Helomics Holding Corp,0001691887,91 43RD STREET,pittsburgh,PA,15201,Corporation,DELAWARE,0001213900-16-019363
baltimore,2016q4,Other Health Care,"Healthcare Interactive, Inc.",0001612708,3060 Route 97,glenwood,MD,21738,Corporation,DELAWARE,0001612708-16-000004
baltimore,2016q4,Biotechnology,"PROFECTUS BIOSCIENCES, INC",0001444253,6411 BECKLEY STREET,baltimore,MD,21224,Corporation,DELAWARE,0001444253-16-000004
atlanta,2016q4,Other Health Care,"PURSUANT HEALTH, INC.",0001412720,780 JOHNSON FERRY ROAD,atlanta,GA,30342,Corporation,DELAWARE,0001412720-16-000004
dallas,2016q4,Pharmaceuticals,"Nacuity Pharmaceuticals, Inc.",0001690279,FORT WORTH CLUB BLDG.,fort worth,TX,76102,Corporation,DELAWARE,0001250853-16-000186
philadelphia,2016q4,Biotechnology,BIOINCEPT LLC,0001401750,1697 LARK LANE,cherry hill,NJ,08003,Limited Liability Company,NEW JERSEY,0001192482-16-000761
dallas,2016q4,Other Health Care,"Modern Dental Services, LP",0001616989,2711 LBJ FREEWAY,dallas,TX,75234,Limited Partnership,DELAWARE,0001140361-16-088294
pittsburgh,2016q4,Biotechnology,COGNITION THERAPEUTICS INC,0001455365,2403 SIDNEY STREET,pittsburgh,PA,15203,Corporation,DELAWARE,0001455365-16-000005
pittsburgh,2016q4,Other Health Care,Keystone Relief Centers LLC,0001690979,20 STANWIX STREET,pittsburgh,PA,15222,Limited Liability Company,PENNSYLVANIA,0001690979-16-000001
philadelphia,2016q4,Other Health Care,ReliefBand Technologies LLC,0001653228,220 Gibraltar Road,horsham,PA,19044,Limited Liability Company,DELAWARE,0001653228-16-000003
pittsburgh,2016q4,Pharmaceuticals,Complexa Inc.,0001551369,2425 SIDNEY STREET,pittsburgh,PA,15203,Corporation,DELAWARE,0001551369-16-000003
dallas,2016q4,Other Health Care,"Legacy Pharmacy, LLC",0001668917,"5710 LBJ FREEWAY, SUITE 480",dallas,TX,75240,Limited Liability Company,TEXAS,0001668917-16-000002
atlanta,2016q4,Other Health Care,PERIMETER CENTER FOR OUTPATIENT SURGERY LP,0001160740,1140 HAMMOND DRIVE,atlanta,GA,30328,Limited Partnership,GEORGIA,0001160740-16-000005
philadelphia,2016q4,Pharmaceuticals,"Galera Therapeutics, Inc.",0001563577,2 West Liberty Boulevard,malvern,PA,19355,Corporation,DELAWARE,0000950138-16-001481
philadelphia,2016q4,Pharmaceuticals,"NeuroRx, Inc.",0001679768,"1201 Orange Street, Suite 600",wilmington,DE,19801,Corporation,DELAWARE,0001679768-16-000003
philadelphia,2016q4,Pharmaceuticals,"NeuroRx, Inc.",0001679768,"1201 Orange Street, Suite 600",wilmington,DE,19801,Corporation,DELAWARE,0001679768-16-000002
philadelphia,2016q4,Biotechnology,"XYLOCOR THERAPEUTICS, INC.",0001690467,76 LONGVIEW LANE,newtown square,PA,19073,Corporation,DELAWARE,0001690467-16-000001
philadelphia,2016q4,Biotechnology,"MBF Therapeutics, Inc.",0001458729,640 WOODBROOK DRIVE,ambler,PA,19002,Corporation,DELAWARE,0001458729-16-000002
atlanta,2016q4,Other Health Care,"Sway Health, Inc.",0001689871,477 WILMER STREET NE,atlanta,GA,30308,Corporation,DELAWARE,0001689871-16-000001
atlanta,2016q4,Other Health Care,"Cartiva, Inc.",0001539128,6120 WINDWARD PARKWAY,alpharetta,GA,30005,Corporation,DELAWARE,0001539128-16-000002
pittsburgh,2016q4,Other Health Care,"Peca Labs, Inc.",0001641404,"4424 Penn Avenue, Suite 201",pittsburgh,PA,15224,Corporation,DELAWARE,0001641404-16-000002
